name,category,price,description,stock
Dell Laptop,Electronics,799,15-inch laptop with 8GB RAM,5
Wireless Mouse,Electronics,25,Bluetooth wireless mouse,20
Backpack,Accessories,30,Travel backpack with laptop sleeve,15
Water Bottle,Accessories,12,Reusable stainless steel bottle,25
Gaming Keyboard,Electronics,45,Mechanical keyboard with RGB,10
Running Shoes,Shoes,50,Comfortable running shoes for daily use,8
Nike Running Shoes,Shoes,45,Lightweight running shoes,10
Adidas Sneakers,Shoes,55,Stylish sneakers for everyday wear,7
USB-C Charger,Electronics,20,Fast charging adapter,12
Laptop Stand,Accessories,35,Adjustable aluminum laptop stand,9
Headphones,Electronics,60,Noise-isolating over-ear headphones,6
Notebook,Stationery,5,College ruled notebook,30
Pen Set,Stationery,8,Smooth ink pens pack of 5,40
Office Chair,Furniture,120,Ergonomic office chair,4
Desk Lamp,Furniture,28,LED desk lamp with brightness settings,11
Smartphone Case,Accessories,15,Protective phone case,18
Bluetooth Speaker,Electronics,70,Portable wireless speaker,8
Tablet,Electronics,299,10-inch Android tablet,5
Monitor,Electronics,180,24-inch full HD monitor,6
Webcam,Electronics,50,HD webcam for meetings,10
